,word,language
0,abolish,en
1,academic,en
2,academy,en
3,acceleration,en
4,accent,en
5,accolade,en
6,accounting,en
7,accumulation,en
8,accurately,en
9,accusation,en
10,accustomed,en
11,achievement,en
12,acid,en
13,acidity,en
14,acquisition,en
15,active,en
16,activist,en
17,adjust,en
18,adolescence,en
19,adopted,en
20,advertise,en
21,advice,en
22,aesthetics,en
23,affectionate,en
24,afternoon,en
25,agitation,en
26,agreed,en
27,aisle,en
28,album,en
29,alligator,en
30,alone,en
31,altercation,en
32,aluminium,en
33,ambassadorship,en
34,amber,en
35,analysis,en
36,anchor,en
37,anecdote,en
38,anger,en
39,anguish,en
40,announcement,en
41,announcer,en
42,antibiotic,en
43,antidote,en
44,antipathy,en
45,antiquity,en
46,antler,en
47,anxiety,en
48,apocalypse,en
49,apostle,en
50,appendage,en
51,applied,en
52,appropriate,en
53,aquarium,en
54,arbour,en
55,archer,en
56,archipelago,en
57,archive,en
58,aristocracy,en
59,arm,en
60,armadillo,en
61,armchair,en
62,arrival,en
63,arsenal,en
64,art,en
65,artificial,en
66,asphalt,en
67,assertion,en
68,assist,en
69,assistance,en
70,assistant,en
71,assumed,en
72,assumption,en
73,asthmatic,en
74,astonishment,en
75,attack,en
76,attire,en
77,attraction,en
78,attrition,en
79,audacious,en
80,aunt,en
81,auspicious,en
82,authorization,en
83,autobiographical,en
84,autumn,en
85,auxiliary,en
86,avenue,en
87,aviator,en
88,avocado,en
89,bamboo,en
90,banana,en
91,banishment,en
92,banker,en
93,bankroll,en
94,bannister,en
95,barbeque,en
96,barber,en
97,barge,en
98,bark,en
99,barnyard,en
100,baroque,en
101,barracuda,en
102,basilica,en
103,basis,en
104,bath,en
105,bathtub,en
106,baton,en
107,battalion,en
108,battleship,en
109,beak,en
110,bear,en
111,bearded,en
112,bed,en
113,bedchamber,en
114,bedding,en
115,beer,en
116,beetle,en
117,beige,en
118,bell,en
119,bellow,en
120,belt,en
121,better,en
122,between,en
123,bigness,en
124,bikini,en
125,binding,en
126,bingo,en
127,biologist,en
128,biplane,en
129,blackbird,en
130,blackmailer,en
131,blade,en
132,blending,en
133,blessing,en
134,blinking,en
135,blister,en
136,blonde,en
137,blood,en
138,blurb,en
139,board,en
140,body,en
141,boil,en
142,boldly,en
143,boldness,en
144,bombing,en
145,bondage,en
146,boom,en
147,boot,en
148,botanist,en
149,botch,en
150,bottle,en
151,boulder,en
152,bounty,en
153,bouquet,en
154,bow,en
155,bracelet,en
156,bragger,en
157,breach,en
158,brick,en
159,bride,en
160,bristle,en
161,broom,en
162,broth,en
163,budge,en
164,budget,en
165,bunk,en
166,burr,en
167,business,en
168,buttock,en
169,buying,en
170,cabin,en
171,cactus,en
172,cad,en
173,cage,en
174,calamity,en
175,calcium,en
176,calculation,en
177,calling,en
178,canary,en
179,canoe,en
180,canvas,en
181,canyon,en
182,cape,en
183,capitalism,en
184,car,en
185,cardboard,en
186,cargo,en
187,caricature,en
188,carnival,en
189,carp,en
190,carver,en
191,carving,en
192,casing,en
193,casserole,en
194,catalogue,en
195,catch,en
196,category,en
197,cathedral,en
198,cavern,en
199,cellophane,en
200,censorship,en
201,census,en
202,center,en
203,centering,en
204,chaff,en
205,chairperson,en
206,channel,en
207,charity,en
208,charm,en
209,chaser,en
210,chattering,en
211,cheapness,en
212,chief,en
213,chiropractor,en
214,chock,en
215,chocolate,en
216,choral,en
217,chore,en
218,christening,en
219,chronicle,en
220,chronological,en
221,chunk,en
222,cigarette,en
223,circle,en
224,circulation,en
225,circus,en
226,citrus,en
227,clam,en
228,clap,en
229,clarification,en
230,classroom,en
231,cleansing,en
232,cleave,en
233,clergyman,en
234,client,en
235,clipboard,en
236,clock,en
237,closet,en
238,clump,en
239,coalition,en
240,coat,en
241,cobra,en
242,cod,en
243,coffee,en
244,coffer,en
245,coherence,en
246,coincidence,en
247,coke,en
248,coldness,en
249,collector,en
250,college,en
251,collision,en
252,colony,en
253,column,en
254,comeback,en
255,comfort,en
256,comma,en
257,commentary,en
258,commitment,en
259,communism,en
260,compel,en
261,compendium,en
262,complaint,en
263,composite,en
264,comprise,en
265,computer,en
266,conceal,en
267,concealment,en
268,conclusion,en
269,condensation,en
270,conditioning,en
271,conference,en
272,conformation,en
273,confrontation,en
274,confusion,en
275,congress,en
276,conjecture,en
277,conquest,en
278,conscience,en
279,conservation,en
280,conservatory,en
281,constancy,en
282,constant,en
283,constitution,en
284,consulate,en
285,contact,en
286,contamination,en
287,contemporary,en
288,continent,en
289,continuity,en
290,contraceptive,en
291,contradict,en
292,controversial,en
293,convent,en
294,convergence,en
295,convoy,en
296,cool,en
297,corpse,en
298,corrective,en
299,correlate,en
300,corroborate,en
301,corroboration,en
302,corset,en
303,cost,en
304,cot,en
305,counselor,en
306,counterbalance,en
307,counterrevolutionary,en
308,country,en
309,courage,en
310,course,en
311,cow,en
312,crank,en
313,craving,en
314,crease,en
315,creek,en
316,crick,en
317,cricket,en
318,criticism,en
319,crocodile,en
320,crucifix,en
321,culpability,en
322,culture,en
323,curl,en
324,customize,en
325,cymbal,en
326,dad,en
327,daisy,en
328,damage,en
329,dame,en
330,dampness,en
331,danger,en
332,dartboard,en
333,deal,en
334,debt,en
335,decibel,en
336,decoration,en
337,decree,en
338,defamation,en
339,defame,en
340,defector,en
341,defence,en
342,defile,en
343,deft,en
344,demonstration,en
345,demotion,en
346,denial,en
347,department,en
348,departure,en
349,dependence,en
350,deposit,en
351,depress,en
352,deprivation,en
353,deputy,en
354,descent,en
355,description,en
356,desert,en
357,destitute,en
358,detection,en
359,detergent,en
360,detonator,en
361,development,en
362,devil,en
363,devolve,en
364,dew,en
365,diabetic,en
366,diagnose,en
367,diagonal,en
368,dialect,en
369,dialogue,en
370,diameter,en
371,dictator,en
372,dictatorship,en
373,diction,en
374,diffusion,en
375,digestion,en
376,dilapidation,en
377,dill,en
378,dilution,en
379,disable,en
380,disappointment,en
381,disarray,en
382,disciple,en
383,disco,en
384,discretion,en
385,discrimination,en
386,disengage,en
387,dishonestly,en
388,dismal,en
389,dismantling,en
390,dispatch,en
391,displacement,en
392,display,en
393,disposition,en
394,distinctiveness,en
395,distinguishing,en
396,distort,en
397,distressed,en
398,distressing,en
399,diversify,en
400,divination,en
401,divinity,en
402,dock,en
403,door,en
404,dose,en
405,double,en
406,downfall,en
407,drag,en
408,dramatic,en
409,draw,en
410,dreamer,en
411,dresser,en
412,drink,en
413,drinking,en
414,drop,en
415,droppings,en
416,drowned,en
417,drunkenness,en
418,duchess,en
419,duck,en
420,duke,en
421,dumb,en
422,dung,en
423,dutifully,en
424,dynamics,en
425,eagerness,en
426,eagle,en
427,earth,en
428,earthquake,en
429,edition,en
430,education,en
431,eel,en
432,efficiency,en
433,egoism,en
434,egomaniac,en
435,elaboration,en
436,elastic,en
437,elbow,en
438,elderly,en
439,electricity,en
440,electronics,en
441,element,en
442,elephant,en
443,emancipation,en
444,embitter,en
445,emerald,en
446,emitter,en
447,emotion,en
448,emphasis,en
449,empire,en
450,employee,en
451,encephalitis,en
452,enclosure,en
453,endurance,en
454,enlargement,en
455,enough,en
456,enterprise,en
457,entertainment,en
458,enthusiasm,en
459,entombment,en
460,entry,en
461,envision,en
462,episode,en
463,equation,en
464,equipment,en
465,erection,en
466,escort,en
467,esteem,en
468,euphemism,en
469,euphoria,en
470,exalt,en
471,exam,en
472,example,en
473,exasperate,en
474,excellency,en
475,exclusion,en
476,excuse,en
477,executive,en
478,exertion,en
479,exhausted,en
480,exhaustion,en
481,exile,en
482,exist,en
483,expansiveness,en
484,expatriate,en
485,expectancy,en
486,expedition,en
487,experiment,en
488,experimental,en
489,experimentation,en
490,expertise,en
491,expiration,en
492,explicit,en
493,exploration,en
494,explore,en
495,expressly,en
496,expressway,en
497,exquisite,en
498,extinction,en
499,extractor,en
500,extradite,en
501,eye,en
502,eyebrow,en
503,fabric,en
504,facetious,en
505,falcon,en
506,falsification,en
507,fanatic,en
508,fang,en
509,fascination,en
510,fated,en
511,faucet,en
512,favor,en
513,feeble,en
514,feed,en
515,felt,en
516,fence,en
517,ferret,en
518,ferry,en
519,fester,en
520,fewer,en
521,fiancee,en
522,fiber,en
523,fictional,en
524,fiddle,en
525,fidelity,en
526,fig,en
527,finale,en
528,fire,en
529,firefly,en
530,fishy,en
531,fistful,en
532,flag,en
533,flagstone,en
534,flipper,en
535,flowing,en
536,flu,en
537,flurry,en
538,focus,en
539,folk,en
540,food,en
541,foolishness,en
542,fragile,en
543,frailty,en
544,frame,en
545,freedom,en
546,frenzy,en
547,frequency,en
548,friction,en
549,fridge,en
550,friendship,en
551,frivolity,en
552,frontier,en
553,function,en
554,functionary,en
555,furnishings,en
556,furthermore,en
557,fuss,en
558,gable,en
559,gamut,en
560,gang,en
561,gas,en
562,gathering,en
563,gem,en
564,generality,en
565,generation,en
566,genetic,en
567,geographical,en
568,gerontology,en
569,gibberish,en
570,giddiness,en
571,gift,en
572,glisten,en
573,globe,en
574,goal,en
575,godfather,en
576,goldfinch,en
577,gory,en
578,gospel,en
579,gossip,en
580,government,en
581,governmental,en
582,grandchild,en
583,grandpa,en
584,grass,en
585,gratuitous,en
586,gravitate,en
587,graze,en
588,grease,en
589,green,en
590,greeting,en
591,grey,en
592,grip,en
593,gripes,en
594,grouch,en
595,grouper,en
596,grovel,en
597,grower,en
598,guidance,en
599,gunner,en
600,guts,en
601,hall,en
602,hallucination,en
603,hammer,en
604,hamster,en
605,handicraft,en
606,happening,en
607,harbor,en
608,hassle,en
609,hat,en
610,hatter,en
611,headline,en
612,healing,en
613,health,en
614,heap,en
615,hearth,en
616,heat,en
617,heated,en
618,hedge,en
619,height,en
620,heights,en
621,heir,en
622,helicopter,en
623,hell,en
624,helm,en
625,henhouse,en
626,herbivore,en
627,heron,en
628,hesitance,en
629,hesitant,en
630,hiccup,en
631,hideout,en
632,highlight,en
633,hindrance,en
634,hint,en
635,hissing,en
636,historic,en
637,hoax,en
638,holler,en
639,hospitable,en
640,hotel,en
641,hours,en
642,house,en
643,hue,en
644,human,en
645,humanist,en
646,humiliation,en
647,humility,en
648,humor,en
649,humorist,en
650,hunt,en
651,hurry,en
652,hurt,en
653,hypnotize,en
654,hypothesis,en
655,iceberg,en
656,identification,en
657,ideology,en
658,idiom,en
659,idiosyncrasy,en
660,illogical,en
661,illuminate,en
662,illustrious,en
663,imitation,en
664,immigrant,en
665,immorality,en
666,impart,en
667,impatience,en
668,imposition,en
669,imprison,en
670,impunity,en
671,incapacitate,en
672,incident,en
673,independence,en
674,index,en
675,indication,en
676,indigo,en
677,individualist,en
678,industrialization,en
679,inebriate,en
680,infection,en
681,inflammation,en
682,inflatable,en
683,influence,en
684,informal,en
685,inhabitant,en
686,inheritance,en
687,inject,en
688,injunction,en
689,innocence,en
690,innovator,en
691,inscrutable,en
692,insensible,en
693,insertion,en
694,insight,en
695,insinuation,en
696,insomnia,en
697,inspector,en
698,intelligence,en
699,interchange,en
700,interest,en
701,interfere,en
702,internally,en
703,intolerable,en
704,invasion,en
705,investigator,en
706,investment,en
707,invitee,en
708,isle,en
709,isolated,en
710,issuance,en
711,jacket,en
712,janitor,en
713,jaw,en
714,jeans,en
715,jib,en
716,jiffy,en
717,jive,en
718,joiner,en
719,joist,en
720,joy,en
721,judgeship,en
722,junction,en
723,jungle,en
724,junior,en
725,justice,en
726,justify,en
727,kerosene,en
728,kick,en
729,kidnap,en
730,kidney,en
731,kimono,en
732,kinetics,en
733,kiss,en
734,kite,en
735,knowing,en
736,label,en
737,labyrinth,en
738,lactose,en
739,ladybird,en
740,lagging,en
741,lagoon,en
742,lamb,en
743,lament,en
744,landlord,en
745,lasagna,en
746,laser,en
747,lasso,en
748,laudable,en
749,laughter,en
750,law,en
751,lawlessness,en
752,leap,en
753,learner,en
754,leaving,en
755,lecture,en
756,lecturer,en
757,leisure,en
758,leotard,en
759,lessening,en
760,lesson,en
761,lethal,en
762,license,en
763,licensee,en
764,lift,en
765,liftoff,en
766,lighting,en
767,likeness,en
768,lilac,en
769,limbo,en
770,lime,en
771,line,en
772,lineage,en
773,linen,en
774,lining,en
775,link,en
776,lint,en
777,liqueur,en
778,list,en
779,lobby,en
780,locale,en
781,lock,en
782,lockjaw,en
783,locomotive,en
784,longing,en
785,loo,en
786,loom,en
787,loss,en
788,lotto,en
789,love,en
790,lover,en
791,lovingly,en
792,loyalty,en
793,lug,en
794,luggage,en
795,lust,en
796,machinery,en
797,magenta,en
798,magnetism,en
799,magnitude,en
800,mailbox,en
801,maim,en
802,manatee,en
803,manger,en
804,manifestation,en
805,mankind,en
806,manner,en
807,manners,en
808,manufacturing,en
809,market,en
810,martini,en
811,marvel,en
812,masculinity,en
813,masochism,en
814,mast,en
815,mastery,en
816,mating,en
817,matrimony,en
818,mayhem,en
819,meaning,en
820,measure,en
821,measurement,en
822,mechanic,en
823,meditation,en
824,medium,en
825,megalopolis,en
826,melancholy,en
827,mellow,en
828,melody,en
829,melon,en
830,member,en
831,merger,en
832,merit,en
833,mermaid,en
834,metronome,en
835,midday,en
836,middle,en
837,millimeter,en
838,mimosa,en
839,minimum,en
840,minnow,en
841,mirage,en
842,mirror,en
843,mishap,en
844,mission,en
845,mistake,en
846,mister,en
847,mixed,en
848,mobile,en
849,mobility,en
850,moderation,en
851,modernism,en
852,modest,en
853,module,en
854,monolithic,en
855,monopolist,en
856,monopoly,en
857,monotony,en
858,monoxide,en
859,mortal,en
860,mother,en
861,motion,en
862,motive,en
863,movable,en
864,movie,en
865,mug,en
866,mulberry,en
867,mule,en
868,multiplicity,en
